物件名,住所,間取り,家賃,階数,最寄りまでの時間
（シニア限定）へーベルVillage西馬込,東京都大田区仲池上２,2LDK,18.9万円,"築3年
3階建",都営浅草線/西馬込駅 歩6分
ステージファースト洗足池,東京都大田区東雪谷１,2SLDK,18.2万円,"築2年
7階建",東急池上線/洗足池駅 歩3分
（仮称）上池台ヘーベルメゾン,東京都大田区上池台３,2LDK,19.8万円,"新築
3階建",東急池上線/洗足池駅 歩7分
ＪＲ中央線 吉祥寺駅 3階建 築4年,東京都練馬区立野町,2LDK,14.7万円,"築4年
3階建",ＪＲ中央線/吉祥寺駅 歩28分
BORIKI吉祥寺北,東京都練馬区立野町,2LDK,14.7万円,"築4年
3階建",ＪＲ中央線/吉祥寺駅 歩28分
グラン　ノワ,東京都大田区鵜の木３,2LDK,18.2万円,"新築
5階建",東急多摩川線/鵜の木駅 歩5分
都営大江戸線 落合南長崎駅 5階建 築2年,東京都新宿区西落合１,2LDK,19.8万円,"築2年
5階建",都営大江戸線/落合南長崎駅 歩6分
ルリアン給田,東京都世田谷区給田２,2LDK,14.9万円,"新築
2階建",京王線/千歳烏山駅 歩9分
京王線 千歳烏山駅 2階建 新築,東京都世田谷区給田２,2LDK,14.9万円,"新築
2階建",京王線/千歳烏山駅 歩9分
ホープシャトーII,東京都大田区上池台５,2LDK,16.2万円,"築12年
4階建",都営浅草線/西馬込駅 歩10分
京王線 八幡山駅 4階建 築10年,東京都世田谷区上北沢５,2LDK,18.9万円,"築10年
4階建",京王線/八幡山駅 歩6分
AZALETY上北沢,東京都世田谷区上北沢５,2LDK,18.9万円,"築10年
4階建",京王線/八幡山駅 歩6分
ＬＩＢＲ　ＧＲＡＮＴ羽田,東京都大田区羽田３,2LDK,19.5万円,"築3年
6階建",京急空港線/穴守稲荷駅 歩5分
大田区矢口3丁目戸建て,東京都大田区矢口３,2SLDK,19.8万円,"築3年
3階建",東急多摩川線/矢口渡駅 歩10分
Ｕ’ｓスクエア,東京都大田区鵜の木２,2LDK,17万円,"築2年
3階建",東急多摩川線/鵜の木駅 歩3分
東急多摩川線 鵜の木駅 3階建 築2年,東京都大田区鵜の木２,2LDK,17万円,"築2年
3階建",東急多摩川線/鵜の木駅 歩3分
桜新町テラス,東京都世田谷区弦巻４,2LDK,19.1万円,"新築
3階建",東急田園都市線/桜新町駅 歩6分
アイディ蒲田47（仮称）,東京都大田区西蒲田３,2LDK,19.9万円,"新築
5階建",ＪＲ京浜東北線/蒲田駅 歩11分
ＪＲ京浜東北線 蒲田駅 5階建 新築,東京都大田区西蒲田３,2LDK,19.9万円,"新築
5階建",ＪＲ京浜東北線/蒲田駅 歩11分
東急世田谷線 若林駅 3階建 築3年,東京都世田谷区梅丘３,2LDK,17.1万円,"築3年
3階建",東急世田谷線/若林駅 歩9分
京王線 八幡山駅 4階建 築10年,東京都世田谷区上北沢５,2LDK,18.9万円,"築10年
4階建",京王線/八幡山駅 歩5分
ＣＲＥＡＬ三軒茶屋,東京都世田谷区代沢４,2LDK,17.3万円,"築3年
5階建",東急世田谷線/西太子堂駅 歩9分
東急世田谷線 西太子堂駅 5階建 築3年,東京都世田谷区代沢４,2LDK,17.3万円,"築3年
5階建",東急世田谷線/西太子堂駅 歩9分
東急田園都市線 桜新町駅 3階建 新築,東京都世田谷区弦巻４,2LDK,19.1万円,"新築
3階建",東急田園都市線/桜新町駅 歩8分
Ｔ’ｓＢＬＵＥ（ティーズブルー）,東京都世田谷区上用賀１,2LDK,15.9万円,"築12年
3階建",東急田園都市線/用賀駅 歩10分
